Sample ID,188.C.C.3,189.C.C.3,190.C.C.3,193.C.C.3,194.C.C.3,197.C.C.3,199.C.C.3,225.C.C.3,226.C.C.3,227.C.C.3,257.C.C.3,23.C.S.3,25.C.S.3,26.C.S.3,59.C.S.3,60.C.S.3,35.C.S.3,36.C.S.3,38.C.S.3,30.C.S.4,31.C.S.4,74.C.S.3,76.C.S.3,68.C.S.3,69.C.S.3,70.C.S.3,45.C.S.3,46.C.S.3,48.C.S.3,53.C.S.3,57.C.S.3,62.C.S.3,63.C.S.3,64.C.S.3,72.C.S.3,73.C.S.3,51.C.S.3,50.C.S.3,42.C.S.3,40.C.S.3
Group,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate
2-Aminoisobutyric acid,0.09,0.210810811,0.195,0.048979592,0.034782609,0.052173913,0.081578947,0.08,0.129411765,0.069047619,0.038,0.015189873,0.0375,0.149152542,0.041753653,0.093247588,0.058441558,0.030252101,0.019823789,0.101156069,0.046457607,0.078561917,0.047619048,0.096446701,0.085561497,0.019271949,0.064705882,0.089201878,0.233480176,0.082969432,0.115973742,0.16744186,0.101648352,0.158823529,0.074074074,0.025641026,0.065368567,0.095238095,0.033210332,0.140151515
4-Hydroxyphenylacetate,0.2625,0.2,0.185,0.273469388,0.149275362,0.223913043,0.147368421,0.5025,0.317647059,0.20952381,0.14,0.156962025,0.276785714,0.262711864,0.409185804,0.485530547,0.467532468,0.2,0.131057269,0.592485549,0.177700348,0.131824234,0.392857143,0.192893401,0.379679144,0.411134904,0.447058824,0.460093897,0.550660793,0.31441048,0.266958425,3.023255814,0.442307692,0.911764706,0.390572391,0.171945701,0.121001391,0.459183673,0.328413284,0.443181818
5-Aminopentanoate,1.17,2.427027027,0.5025,3.257142857,0.47826087,0.636956522,0.534210526,1.885,0.761764706,0.514285714,2.424,0.239240506,0.946428571,1.244067797,1.002087683,0.707395498,3.866883117,0.791596639,0.198237885,0.789017341,0.207897793,0.804260985,0.619047619,0.42893401,1.267379679,1.99143469,4.223529412,1.248826291,1.092511013,4.23580786,0.487964989,1.134883721,5.895604396,2.294117647,0.545454545,0.399698341,0.305980529,0.683673469,0.420664207,1.606060606
Acetate,71.1675,74.86756757,69.865,38.73061224,39.0942029,66.35869565,48.93421053,47.4125,101.2235294,75.48095238,29.264,27.8164557,47.2,56.15423729,40.23799582,25.69453376,31.27272727,32.23865546,24.09801762,73.41618497,32.8466899,33.3608522,28.68650794,58.02030457,36.62566845,29.12847966,52.87058824,45.9342723,72.00440529,31.93449782,79.39606127,30.05116279,49.24450549,167.2235294,46.48148148,31.22775264,49.81641168,48.66666667,63.36900369,123.8825758
Adenine,13.05,10.32432432,10.6125,0.546938776,5.555072464,10.28695652,2.697368421,1.8375,13.92941176,9.45,0.246,2.898734177,6.407142857,6.869491525,6.384133612,2.717041801,1.084415584,3.453781513,5.189427313,6.26300578,6.303135889,6.735019973,3.186507937,11.28680203,6.823529412,1.856531049,7.505882353,9.774647887,5.519823789,2.995633188,12.71115974,0.869767442,4.354395604,25.72352941,4.481481481,5.612368024,6.965229485,4.295918367,1.808118081,14.28787879
Alanine,7.3725,5.2,5.6325,1.481632653,3.473913043,4.806521739,1.928947368,1.47,8.402941176,4.473809524,2.68,1.864556962,4.255357143,14.05254237,3.582463466,2.302250804,1.944805195,2.23697479,2.997797357,3.121387283,3.538908246,4.225033289,3.674603175,6.733502538,5.401069519,1.434689507,7.176470588,7.253521127,6.581497797,3.375545852,6.717724289,2.279069767,2.964285714,19.11764706,3.063973064,2.546003017,3.044506259,3.568027211,2.018450185,8.454545455
Alpha-ketoisovaleric acid,0.1975,0.037837838,0.045,0.024489796,0.08115942,0.043478261,0.031578947,0.01,0.032352941,0.021428571,0.032,0.027848101,0.032142857,0.379661017,0.025052192,0.025723473,0.029220779,0.070588235,0.105726872,0.026011561,0.042973287,0.023968043,0.05952381,0.043147208,0.106951872,0.029978587,0.105882353,0.098591549,0.207048458,0.061135371,0.028446389,0.195348837,0.021978022,0.058823529,0.043771044,0.058823529,0.025034771,0.068027211,0.040590406,0.026515152
Arabinose,2.0025,8.721621622,4.82,10.18571429,1.642028986,5.297826087,5.305263158,6.0375,2.752941176,3.047619048,7.924,3.012658228,7.855357143,4.283050847,6.189979123,5.713826367,5.769480519,3.191596639,3.570484581,7.011560694,3.010452962,5.716378162,6.376984127,4.812182741,4.962566845,2.175588865,11.15294118,9.018779343,5.718061674,6.545851528,14.71772429,4.423255814,8.832417582,11.71764706,4.215488215,1.027149321,4.930458971,4.034013605,9.32103321,8.992424242
Asparagine,0.2025,0.37027027,0.3425,0.240816327,0.171014493,0.204347826,0.247368421,0.235,0.752941176,0.369047619,0.198,0.125316456,0.176785714,0.361016949,0.246346555,0.270096463,0.181818182,0.094117647,0.129955947,0.332369942,0.202090592,0.203728362,0.277777778,0.411167513,0.363636364,0.145610278,0.594117647,0.38028169,0.242290749,0.35371179,0.415754923,0.302325581,0.285714286,1.105882353,0.276094276,0.156862745,0.250347705,0.404761905,0.346863469,0.965909091
Aspartate,2.9925,2.418918919,1.7775,0.895918367,1.572463768,1.986956522,1.213157895,0.85,4.305882353,1.804761905,1.656,0.803797468,1.785714286,2.574576271,1.91440501,1.688102894,1.954545455,1.119327731,1.268722467,2.271676301,1.927990708,2.090545939,3.496031746,4.243654822,4.695187166,0.82869379,4.229411765,3.868544601,3.392070485,2.152838428,2.643326039,1.572093023,2.43956044,10.75294118,2.34006734,2.108597285,2.151599444,1.428571429,1.457564576,5.863636364
Beta-N-Acetylglucosamine,17.625,2.943243243,17.08,2.524489796,15.12753623,7.026086957,4.134210526,5.3375,2.902941176,9.347619048,3.94,6.117721519,14.84285714,19.46610169,15.37160752,10.81350482,9.159090909,14.15966387,5.535242291,10.21387283,7.130081301,6.043941411,6.21031746,7.751269036,6.427807487,7.749464668,13.65294118,40.14084507,12.49339207,4.851528384,8.10940919,6.158139535,6.230769231,8.829411765,21.28619529,17.74660633,4.855354659,4.74829932,3.232472325,3.833333333
Butyrate,10.37,13.03513514,9.955,2.740816327,6.123188406,9.639130435,3.602631579,3.22,10.42941176,7.307142857,1.554,3.236708861,7.328571429,11.90338983,3.774530271,2.59807074,2.756493506,5.927731092,4.098017621,9.216763006,3.466898955,4.841544607,2.05952381,10.56598985,4.422459893,1.520342612,7.417647059,4.338028169,1.63876652,2.772925764,7.216630197,1.274418605,3.423076923,13.54117647,5.858585859,5.21719457,4.129346314,1.180272109,5.819188192,11.28787879
Chenodeoxycholic acid,0.3625,0.078378378,0.055,0.748979592,0.962318841,0.723913043,2.505263158,0.285,0.155882353,0.04047619,0.452,0.567088608,0.576785714,0.33559322,1.158663883,2.691318328,1.201298701,1.722689076,1.81277533,1.450867052,0.118466899,3.075898802,2.996031746,0.124365482,3.625668449,1.586723769,8.252941176,4.882629108,11.82819383,3.179039301,0.094091904,7.827906977,3.214285714,0.523529412,0.801346801,0.461538462,0.161335188,5.619047619,2.557195572,0.196969697
Cholate,0.0225,0.016216216,0.015,0.108163265,0.004347826,0.013043478,0.144736842,0.36,0.020588235,0.00952381,0.376,0.012658228,0.0875,0.028813559,0.686847599,0.250803859,0.175324675,0.075630252,0.008810573,0.052023121,0.010452962,0.111850866,1.373015873,0.043147208,0.037433155,0.139186296,0.717647059,0.399061033,0.317180617,0.480349345,0.019693654,0.395348837,0.714285714,0.070588235,0.023569024,0.018099548,0.019471488,1.180272109,0.195571956,0.083333333
Choline,2.5825,3.448648649,3.1275,0.589795918,1.156521739,3.104347826,1.360526316,0.8625,6.179411765,5.707142857,0.642,0.762025316,2.205357143,3.688135593,3.795407098,0.646302251,0.769480519,0.742857143,0.854625551,4.069364162,2.367015099,3.944074567,0.75,4.14213198,1.689839572,1.325481799,4.347058824,3.971830986,1.052863436,1.480349345,5.52297593,1.195348837,3.741758242,17.38823529,1.71043771,1.853695324,3.816411683,0.962585034,0.693726937,8.431818182
Cytidine monophosphate,0.855,0.302702703,0.33,0.246938776,0.573913043,0.315217391,0.576315789,0.41,0.438235294,0.266666667,0.52,0.269620253,0.380357143,0.155932203,0.181628392,1.350482315,0.899350649,1.065546218,0.246696035,0.48265896,0.180023229,0.181091877,1.682539683,0.329949239,2.417112299,0.314775161,1.417647059,1.061032864,2.405286344,1.528384279,0.361050328,2.046511628,0.184065934,1.611764706,1.077441077,0.117647059,0.275382476,1.214285714,0.826568266,0.352272727
D-Glucose,1.855,14.52972973,7.545,1.689795918,2.353623188,11.58478261,1.936842105,5.18,7.352941176,10.25714286,0.572,1.250632911,10.48214286,9.949152542,7.847599165,2.225080386,1.282467532,1.515966387,0.70154185,8.289017341,3.454123113,8.735019973,2.166666667,10.64720812,2.764705882,1.299785867,16.9,5.361502347,2.149779736,3.069868996,6.984682713,2.511627907,9.137362637,33.41176471,2.861952862,2.90346908,9.959666203,0.717687075,1.439114391,12.87878788
Dimethylamine,0.04,0.313513514,0.035,0.171428571,0.024637681,0.02173913,0.036842105,0.05,0.026470588,0.035714286,0.218,0.013924051,0.021428571,0.037288136,0.039665971,0.035369775,0.220779221,0.033613445,0.035242291,0.01734104,0.051103368,0.097203728,0.043650794,0.032994924,0.064171123,0.04496788,0.211764706,0.056338028,0.04845815,0.200873362,0.024070022,0.111627907,0.197802198,0.094117647,0.03030303,0.022624434,0.015299026,0.227891156,0.025830258,0.060606061
Ferulate,0.07,0.097297297,0.0575,0.283673469,0.04057971,0.095652174,0.136842105,0.1025,0.105882353,0.071428571,0.196,0.065822785,0.089285714,0.061016949,0.154488518,0.282958199,0.285714286,0.062184874,0.06277533,0.202312139,0.046457607,0.075898802,0.365079365,0.121827411,0.256684492,0.057815846,0.488235294,0.34741784,0.418502203,0.397379913,0.115973742,0.320930233,0.277472527,0.164705882,0.127946128,0.051282051,0.116828929,0.241496599,0.346863469,0.253787879
Formate,1.23,1.413513514,1.56,1.86122449,0.844927536,1.326086957,1.268421053,1.2325,1.6,1.461904762,1.476,0.644303797,0.989285714,1.786440678,1.137787056,1.279742765,1.633116883,0.61512605,0.658590308,1.060693642,0.711962834,0.603195739,1.591269841,1.16751269,2.267379679,0.680942184,2.305882353,1.755868545,2.740088106,1.480349345,1.258205689,1.576744186,1.173076923,2.452941176,1.212121212,0.604826546,0.531293463,0.146258503,1.579335793,1.321969697
Fucose,1.0075,0.656756757,0.845,0.287755102,0.868115942,0.515217391,0.686842105,0.6725,0.285294118,0.523809524,0.606,0.603797468,0.851785714,0.681355932,1.037578288,1.090032154,2.094155844,1.183193277,0.547356828,1.054913295,0.442508711,0.271637816,1.281746032,0.758883249,2.187165775,0.875802998,2.470588235,3.82629108,2.647577093,1.545851528,0.702407002,2.488372093,0.733516484,1.2,2.047138047,0.69984917,0.318497914,1.071428571,0.870848708,0.734848485
Fumarate,0.2075,0.183783784,0.39,0.12244898,0.126086957,0.117391304,0.15,0.1,0.047058824,0.114285714,0.056,0.121518987,0.153571429,1.571186441,0.217118998,0.24437299,0.214285714,0.208403361,0.168502203,0.121387283,0.211382114,0.129161119,0.297619048,0.159898477,0.304812834,0.100642398,0.347058824,0.478873239,0.726872247,0.327510917,0.166301969,0.330232558,0.282967033,0.170588235,0.185185185,0.117647059,0.104311544,0.394557823,0.3099631,0.03030303
Galactose,4.815,2.113513514,4.4,2.202040816,4.076811594,2.215217391,2.457894737,3.0525,0.888235294,2.485714286,1.82,2.417721519,4.528571429,5.111864407,5.187891441,4.800643087,3.941558442,4.299159664,2.003303965,3.49132948,2.008130081,1.51930759,3.154761905,2.550761421,3.475935829,2.959314775,7.247058824,16.12206573,6.396475771,3.72489083,2.562363239,3.023255814,3.793956044,2.247058824,7.127946128,4.907993967,1.410292072,1.80952381,3.070110701,0.965909091
Glucose 1-phosphate,0.5475,4.810810811,1.75,1.895918367,0.539130435,3.710869565,0.634210526,3.82,4.364705882,2.042857143,1.596,0.403797468,2.994642857,1.56440678,1.321503132,0.321543408,0.623376623,2.704201681,0.485682819,0.783236994,1.160278746,1.821571238,0.567460317,2.185279188,1.122994652,0.595289079,3.7,0.915492958,0.925110132,0.777292576,2.995623632,0.609302326,0.626373626,7.923529412,0.882154882,0.518853695,2.063977747,0.489795918,1.734317343,5.416666667
Glutamate,6.1975,3.602702703,4.4225,0.965306122,3.011594203,4.306521739,2.039473684,1.48,4.044117647,3.130952381,1.726,1.656962025,2.119642857,11.3559322,2.956158664,2.906752412,1.954545455,6.198319328,4.257709251,3.76300578,3.180023229,3.30758988,4.567460317,7.307106599,12.57754011,1.642398287,13.1,9.117370892,7.026431718,4.497816594,5.455142232,4,3.274725275,16.44705882,4.888888889,5.520361991,3.838664812,5.727891156,2.3099631,10.29166667
Glutamine,1.685,1.821621622,1.685,0.52244898,0.873913043,1.356521739,0.447368421,0.515,2.532352941,1.285714286,1.22,0.492405063,1.014285714,2.33220339,0.981210856,0.556270096,0.402597403,0.472268908,0.927312775,1.26300578,0.904761905,1.697736352,0.793650794,2.411167513,1.577540107,0.561027837,2.535294118,1.938967136,1,0.602620087,1.897155361,2.246511628,0.85989011,7.158823529,0.723905724,0.791855204,0.968011127,0.56462585,0.442804428,3.984848485
Glycine,2.23,2.483783784,1.75,0.546938776,1.134782609,1.506521739,0.815789474,0.7,3.094117647,1.55,1.202,0.57721519,1.646428571,6.925423729,1.258872651,0.829581994,0.808441558,0.779831933,1.199339207,1.132947977,1.534262485,1.665778961,1.226190476,2.068527919,1.614973262,0.620985011,3.2,2.075117371,1.792951542,1.126637555,2.597374179,1.106976744,1.508241758,6.235294118,1.249158249,1.135746606,1.280945758,1.513605442,0.763837638,4.162878788
Glycocholate,0.0375,0.021621622,0.02,0.163265306,0.008695652,0.026086957,0.339473684,0.075,0.038235294,0.023809524,0.08,0.058227848,0.1375,0.042372881,0.102296451,0.154340836,0.042207792,0.055462185,0.04185022,0.23699422,0.074332172,0.20505992,0.055555556,0.053299492,0.22459893,0.070663812,0.388235294,0.159624413,0.198237885,0.296943231,0.083150985,0.353488372,0.376373626,0.117647059,0.077441077,0.398190045,0.168289291,0.278911565,0.092250923,0.045454545
Guanosine monophosphate,2.7625,3.194594595,1.2825,0.569387755,1.020289855,1.947826087,1.136842105,0.6625,4.120588235,2.852380952,0.658,0.213924051,1.353571429,0.084745763,1.03131524,0.852090032,1.035714286,0.956302521,0.4030837,3.39017341,1.216027875,1.16644474,1.94047619,0.629441624,3.058823529,0.408993576,3.041176471,2.046948357,0.502202643,1.92139738,1.84463895,1.539534884,2.656593407,9.305882353,2.582491582,1.176470588,1.278164117,0.850340136,1.911439114,2.659090909
Hexanoylcarnitine,0.2525,0.272972973,0.2175,0.259183673,0.110144928,0.123913043,0.089473684,0.245,0.473529412,0.173809524,0.374,0.062025316,0.141071429,0.338983051,0.102296451,0.125401929,0.285714286,0.07394958,0.024229075,0.101156069,0.140534262,0.221038615,0.011904762,0.335025381,0.240641711,0.053533191,0.441176471,0.230046948,0.176211454,0.205240175,0.315098468,0.390697674,0.497252747,0.576470588,0.107744108,0.079939668,0.232267038,0.12585034,0.084870849,0.46969697
Histamine,0.7775,0.256756757,0.3075,0.2,0.142028986,0.213043478,0.210526316,0.15,0.5,0.404761905,0.272,0.107594937,0.151785714,0.233898305,0.154488518,0.24437299,0.246753247,0.127731092,0.081497797,0.286127168,0.221835075,0.262316911,0.154761905,0.192893401,0.406417112,0.162740899,0.447058824,0.34741784,0.308370044,0.323144105,0.315098468,0.237209302,0.425824176,0.911764706,0.171717172,0.165912519,0.255910987,0.217687075,0.147601476,0.359848485
Histidine,0.815,0.743243243,0.6875,0.289795918,0.205797101,0.308695652,0.3,0.285,2.182352941,1.026190476,0.334,0.192405063,0.328571429,0.881355932,0.482254697,0.533762058,0.396103896,0.205042017,0.254405286,0.586705202,0.533101045,0.552596538,0.682539683,0.710659898,0.903743316,0.244111349,1.470588235,1.76056338,0.748898678,0.6069869,0.934354486,1.013953488,0.722527473,4.770588235,0.558922559,0.487179487,0.596662031,0.758503401,0.287822878,2.060606061
