,12.M.S.9,47.M.S.8,44.M.S.8,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,228.M.C.9,229.M.C.9,255.M.C.9,256.M.C.9,257.C.C.9,242.M.C.9,243.C.C.9,252.M.C.9,253.C.C.9,254.C.C.9,259.M.C.9,261.C.C.9,262.C.C.9,186.M.C.9,187.M.C.9,188.C.C.9,189.C.C.9,190.C.C.9,191.M.C.9,192.M.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,198.M.C.9,199.C.C.9,263.C.C.9,236.M.C.9,237.C.C.9,238.C.C.9,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,183.C.S.10,173.M.S.10,169.M.S.10,164.M.S.9,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,224.M.S.9,215.M.S.10,184.C.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10
,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Cohoused,Control_Cohoused,Control_Cohoused,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Control_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate,Mutant_Separate
2-Aminoisobutyric acid,0.063795853,0.026722925,0.088983051,0.064444444,0.068877551,0.034606205,0.059016393,0.01884058,0.022033898,0.050943396,0.029545455,0.012037037,0.055932203,0.030232558,0.021428571,0.052830189,0.073684211,0.046428571,0.011304348,0.036170213,0.026315789,0.032394366,0.025882353,0.059677419,0.268421053,0.018181818,0.031481481,0.017460317,0.059016393,0.08245614,0.034042553,0.028125,0.025352113,0.024657534,0.078125,0.053703704,0.049206349,0.0525,0.060416667,0.029787234,0.048148148,0.015116279,0.048484848,0.046774194,0.020454545,0.03,0.128571429,0.03880597,0.043333333,0.042307692,0.054347826,0.071929825,0.130769231,0.031147541,0.058181818,0.053164557,0.030985915,0.025714286,0.039240506,0.07260274,0.07,0.03125,0.071232877,0.061904762
4-Hydroxyphenylacetate,0.132376396,0.184247539,0.186440678,0.411111111,0.43877551,0.106205251,0.163934426,0.28115942,0.206779661,0.258490566,0.229545455,0.131481481,0.442372881,0.234883721,0.211428571,0.226415094,0.571929825,0.319642857,0.134782609,0.223404255,0.176315789,0.132394366,0.165882353,0.158064516,0.542105263,0.121818182,0.192592593,0.147619048,0.549180328,0.436842105,0.111702128,0.2515625,0.157746479,0.105479452,0.39375,0.235185185,0.171428571,0.2475,0.327083333,0.214893617,0.205555556,0.13372093,0.487878788,0.088709677,0.127272727,0.222,0.35,0.159701493,0.203333333,0.169230769,0.35,0.254385965,0.353846154,0.432786885,0.229090909,0.110126582,0.123943662,0.117142857,0.081012658,0.182191781,0.12,0.06125,0.134246575,0.142857143
5-Aminopentanoate,0.220095694,0.969057665,0.402542373,0.584444444,4.033163265,0.094272076,0.150819672,1.407246377,0.879661017,0.209433962,0.679545455,0.30462963,0.555932203,1.011627907,0.244285714,0.296226415,2.459649123,0.383928571,0.14173913,0.231914894,0.321052632,2.307042254,3.949411765,0.640322581,2.968421053,0.240909091,0.898148148,0.33968254,2.295081967,1.526315789,0.272340426,0.265625,0.426760563,0.801369863,0.884375,0.453703704,0.352380952,0.51,1.08125,0.634042553,0.472222222,0.675581395,1.909090909,0.598387097,0.185227273,0.878,2.907142857,0.540298507,1.615,0.825,1.813043478,1.866666667,1.425,2.416393443,1.945454545,0.284810127,0.277464789,0.247142857,0.791139241,0.342465753,0.45,0.1825,0.219178082,0.797619048
Acetate,31.38277512,18.91983122,20.77542373,45.3,40.11479592,29.68735084,55.40327869,20.39130435,42.6,36.82264151,36.62954545,27.98796296,20.52881356,26.65813953,41.87142857,36.81320755,42.87368421,33.26607143,22.78,28.70638298,66.51578947,20.39577465,39.23529412,19.39193548,24.56315789,24.38909091,22.15925926,29.39047619,18.69836066,15.85263158,18.91276596,21.94375,28.94084507,36.21643836,38.7375,52.77962963,29.2,22.1575,18.08541667,17.79787234,23.27592593,33.01511628,48.59393939,14.91935484,26.98295455,43.782,20.81190476,29.34328358,16.345,64.66538462,31.86086957,21.90877193,49.44615385,26.41639344,20.52545455,21.58860759,40.81267606,54.63571429,16.26835443,32.05205479,51.155,23.7325,21.29315068,27.69285714
Adenine,6.381180223,2.244725738,1.256355932,1.942222222,1.594387755,2.137231504,4.803278689,1.601449275,6.661016949,0.654716981,1.827272727,3.509259259,0.96440678,1.193023256,4.951428571,2.316981132,2.168421053,6.226785714,3.048695652,2.210638298,4.094736842,0.783098592,5.097647059,1.39516129,2.136842105,2.778181818,0.907407407,2.622222222,1.503278689,0.950877193,3.172340426,1.659375,3.502816901,2.95890411,1.346875,8.296296296,1.179365079,3.1575,1.06875,2.340425532,5.612962963,4.372093023,1.284848485,0.464516129,3.675,5.86,1.238095238,3.994029851,1.153333333,8.730769231,0.82826087,0.796491228,1.963461538,2.196721311,0.445454545,1.262025316,2.508450704,4.841428571,0.544303797,2.146575342,1.295,2.625,0.649315068,1.073809524
Alanine,3.023923445,4.433192686,2.266949153,2.771111111,4.028061224,1.322195704,2.206557377,2.305797101,2.903389831,0.949056604,2.293181818,1.668518519,1.776271186,4.727906977,2.272857143,1.547169811,3.510526316,4.191071429,1.690434783,1.965957447,2.521052632,1.136619718,2.855294118,1.869354839,5.173684211,1.534545455,1.825925926,2.347619048,1.762295082,1.796491228,1.729787234,2.1234375,2.6,1.612328767,2.26875,4.188888889,1.658730159,4.39,1.533333333,2.236170213,3.35,2.115116279,3.036363636,1.380645161,1.148863636,3.54,4.242857143,2.150746269,2.451666667,5.871153846,2.897826087,1.359649123,1.661538462,2.959016393,0.82,1.026582278,1.170422535,2.234285714,0.946835443,1.075342466,1.62,0.99875,1.356164384,2.980952381
Alpha-ketoisovaleric acid,0.07814992,0.023909986,0.031779661,0.022222222,0.025510204,0.005966587,0.018032787,0.031884058,0.06440678,0.009433962,0.054545455,0.062962963,0.030508475,0.097674419,0.042857143,0.039622642,0.040350877,0.083928571,0.084347826,0.061702128,0.086842105,0.026760563,0.04,0.058064516,0.168421053,0.032727273,0.033333333,0.055555556,0.050819672,0.042105263,0.032978723,0.01875,0.03943662,0.071232877,0.08125,0.051851852,0.036507937,0.12,0.045833333,0.065957447,0.137037037,0.091860465,0.048484848,0.008064516,0.029545455,0.1,0.035714286,0.041791045,0.05,0.046153846,0.036956522,0.028070175,0.025,0.02295082,0.010909091,0.02278481,0.030985915,0.024285714,0.012658228,0.034246575,0.025,0.01875,0.030136986,0.033333333
Arabinose,2.432216906,5.436005626,6.226694915,3.608888889,3.160714286,2.096658711,2.813114754,1.707246377,22.76101695,3.649056604,7.904545455,2,2.550847458,6.83255814,3.005714286,6.126415094,4.096491228,4.675,1.706086957,4.914893617,6.189473684,1.678873239,2.708235294,5.912903226,9.726315789,1.487272727,3.046296296,2.180952381,5.57704918,5.489473684,1.686170213,2.1421875,2.347887324,1.542465753,8.821875,2.511111111,2.752380952,7.01,5.954166667,3.827659574,2.853703704,1.327906977,6.690909091,7.333870968,2.634090909,4.162,12.14047619,5.446268657,6.335,4.584615385,3.206521739,3.789473684,4.113461538,3.360655738,3.483636364,3.160759494,1.5,2.187142857,4.62278481,1.857534247,4.12,1.03125,6.221917808,15.4452381
Asparagine,0.200956938,0.558368495,0.281779661,0.16,0.548469388,0.099045346,0.101639344,0.052173913,0.061016949,0.067924528,0.081818182,0.033333333,0.061016949,0.334883721,0.051428571,0.109433962,0.198245614,0.089285714,0.040869565,0.138297872,0.05,0.032394366,0.064705882,0.074193548,0.226315789,0.041818182,0.135185185,0.150793651,0.113114754,0.080701754,0.055319149,0.059375,0.090140845,0.056164384,0.14375,0.101851852,0.146031746,0.4675,0.129166667,0.176595745,0.096296296,0.039534884,0.224242424,0.388709677,0.195454545,0.306,0.664285714,0.311940299,0.445,0.513461538,0.580434783,0.587719298,0.644230769,0.367213115,0.407272727,0.303797468,0.143661972,0.215714286,0.070886076,0.124657534,0.455,0.11375,0.147945205,0.414285714
Aspartate,1.285486443,1.873417722,1.252118644,2.4,2.701530612,0.828162291,0.991803279,1.434782609,1.276271186,1.128301887,1.359090909,1.101851852,1.674576271,2.695348837,1.02,0.869811321,1.638596491,2.132142857,0.956521739,1.131914894,1.460526316,1.104225352,1.437647059,1.029032258,3.842105263,0.679090909,1.174074074,1.049206349,1.091803279,0.977192982,0.773404255,1.2390625,1.105633803,0.638356164,1.1625,2.133333333,0.923809524,2.2325,0.979166667,1.280851064,1.625925926,1.287209302,1.724242424,0.622580645,0.776136364,1.534,1.25,1.840298507,1.748333333,3.125,2.369565217,1.026315789,0.944230769,1.227868852,0.856363636,0.810126582,1.628169014,1.224285714,0.556962025,0.782191781,2.585,0.7175,1.178082192,0.907142857
Beta-N-Acetylglucosamine,10.53588517,10.47257384,6.046610169,3.335555556,2.290816327,2.330548926,2.650819672,17.51014493,30.42542373,2.349056604,1.390909091,6.318518519,2.96779661,2.234883721,7.072857143,5.518867925,18.13157895,22.275,6.78173913,4.719148936,2.136842105,1.650704225,5.918823529,7.424193548,2.447368421,10.30181818,6.668518519,25.02380952,18.74590164,10.30175439,2.891489362,9.0328125,14.58732394,11.06438356,6.384375,7.187037037,4.088888889,7.8475,6.975,7.570212766,8.77962963,2.752325581,2.351515152,2.327419355,1.935227273,11.728,6.957142857,5.288059701,8.981666667,6.321153846,5.586956522,7.689473684,10.33076923,20.36229508,1.738181818,4.75443038,6.174647887,2.89,1.741772152,3.389041096,3.915,3.6475,2.356164384,6.930952381
Butyrate,4.578947368,5.030942335,2.75,3.904444444,3.535714286,5.642004773,11.53606557,1.311594203,5.23559322,2.935849057,7.027272727,4.992592593,1.581355932,2.174418605,6.204285714,5.749056604,2.036842105,6.1,5.994782609,2.944680851,6.489473684,1.546478873,5.897647059,1.703225806,1.905263158,3.061818182,1.240740741,1.928571429,1.82295082,1.514035088,1.890425532,1.925,2.609859155,3.067123288,2.803125,4.712962963,0.782539683,1.6125,1.327083333,1.855319149,4.014814815,5.669767442,7.136363636,1.562903226,7.763636364,9.114,0.992857143,4.011940299,1.5,11.33653846,1.295652174,1.573684211,2.969230769,1.354098361,1.961818182,3.286075949,2.911267606,10.48714286,1.116455696,4.51369863,2.47,7.21,1.252054795,3.092857143
Chenodeoxycholic acid,1.572567783,5.440225035,4.245762712,1.502222222,2.926020408,0.787589499,0.918032787,2.063768116,0.745762712,0.811320755,1.236363636,0.032407407,7.413559322,2.544186047,2.405714286,3.771698113,1.833333333,2.339285714,2.002608696,4.49787234,1.786842105,1.470422535,0.201176471,1.369354839,12.35789474,2.466363636,4.116666667,2.252380952,8.285245902,4.675438596,5.412765957,5.9765625,10.5943662,1.535616438,0.8125,0.553703704,0.801587302,2.3275,1.81875,5.978723404,2.190740741,0.605813953,2.096969697,0.611290323,0.025,2.55,9.316666667,0.231343284,2.736666667,0.115384615,4.208695652,3.094736842,2.328846154,1.693442623,1.432727273,0.958227848,3.035211268,0.052857143,1.113924051,0.328767123,3.06,1.08375,2.515068493,0.576190476
Cholate,0.015948963,0.278481013,0.127118644,0.626666667,1.540816327,0.020286396,0.019672131,0.475362319,0.233898305,0.332075472,1.152272727,0.027777778,0.603389831,0.365116279,0.041428571,0.290566038,0.3,0.028571429,0.010434783,0.136170213,0.081578947,0.9,0.242352941,0.216129032,1.257894737,0.058181818,0.281481481,0.050793651,0.219672131,0.294736842,0.035106383,0.2046875,0.13943662,0.083561644,0.69375,0.016666667,0.196825397,0.4875,0.5125,0.468085106,0.087037037,0.01744186,1.63030303,0.393548387,0.007954545,0.038,2.578571429,0.098507463,0.238333333,0.013461538,0.597826087,0.221052632,0.061538462,0.119672131,0.441818182,0.302531646,0.050704225,0.02,0.111392405,0.090410959,0.065,0.01,0.391780822,0.60952381
Choline,0.894736842,0.288326301,0.26059322,0.406666667,0.336734694,0.297136038,0.849180328,0.175362319,1.242372881,0.143396226,0.395454545,0.448148148,0.188135593,0.276744186,1.435714286,0.250943396,0.324561404,0.801785714,0.26173913,0.229787234,0.613157895,0.170422535,0.974117647,0.166129032,0.552631579,0.290909091,0.194444444,0.125396825,0.183606557,0.147368421,0.34893617,0.178125,0.495774648,0.25890411,0.3,0.940740741,0.13968254,0.27,0.139583333,0.112765957,0.290740741,0.324418605,0.387878788,0.722580645,0.804545455,0.37,1.104761905,1.079104478,0.41,2.911538462,0.45,0.389473684,0.607692308,1.309836066,0.585454545,0.282278481,0.885915493,1.671428571,0.221518987,0.538356164,0.975,0.52125,0.479452055,0.838095238
Cytidine monophosphate,0.622009569,0.94374121,1.665254237,0.755555556,1.173469388,0.447494033,0.619672131,0.311594203,1.242372881,0.530188679,1.193181818,0.087962963,1.257627119,1.330232558,0.49,1.341509434,0.843859649,1.003571429,0.22173913,1,1,0.438028169,0.295294118,0.840322581,2.831578947,0.271818182,0.911111111,0.852380952,1.081967213,1.050877193,0.2,1.525,0.271830986,0.289041096,1.44375,0.435185185,0.703174603,1.7675,0.770833333,0.808510638,1.655555556,0.261627907,1.542424242,0.503225806,0.223863636,1.856,1.102380952,0.264179104,0.858333333,0.371153846,0.458695652,0.649122807,0.544230769,0.409836066,0.589090909,0.663291139,0.23943662,0.12,0.386075949,0.401369863,1.72,0.23375,0.942465753,0.785714286
D-Glucose,2.49122807,3.856540084,0.813559322,0.351111111,0.553571429,1.776849642,2.109836066,0.636231884,8.406779661,1.309433962,3.665909091,3.626851852,0.406779661,1.088372093,2.354285714,2.624528302,0.538596491,5.203571429,1.564347826,0.436170213,0.794736842,0.154929577,3.438823529,1.277419355,5.294736842,1.533636364,0.309259259,0.612698413,1.595081967,1.245614035,2.021276596,0.3703125,1.584507042,0.752054795,1.840625,2.9,0.247619048,3.35,0.808333333,0.59787234,1.783333333,0.934883721,5.275757576,2.269354839,3.7375,6.382,7.40952381,4.52238806,1.103333333,17.99807692,0.573913043,0.428070175,0.857692308,1.926229508,0.867272727,1.212658228,0.866197183,3.954285714,0.618987342,0.661643836,1.5,1.51375,2.060273973,6.473809524
Dimethylamine,0.023923445,0.009845288,0.014830508,0.015555556,0.022959184,0.010739857,0.006557377,0.007246377,0.008474576,0.011320755,0.009090909,0.006481481,0.006779661,0.009302326,0.007142857,0.003773585,0.00877193,0.007142857,0.004347826,0.008510638,0.007894737,0.005633803,0.004705882,0.020967742,0.031578947,0.008181818,0.02037037,0.017460317,0.021311475,0.015789474,0.010638298,0.0171875,0.012676056,0.008219178,0.015625,0.016666667,0.014285714,0.015,0.022916667,0.019148936,0.009259259,0.008139535,0.015151515,0.25,0.015909091,0.012,0.064285714,0.034328358,0.03,0.023076923,0.186956522,0.047368421,0.034615385,0.052459016,0.203636364,0.016455696,0.008450704,0.008571429,0.120253165,0.009589041,0.09,0.00375,0.008219178,0.088095238
Ferulate,0.11323764,0.167369902,0.186440678,0.188888889,0.142857143,0.031026253,0.086885246,0.165217391,0.379661017,0.181132075,0.477272727,0.07037037,0.250847458,0.544186047,0.107142857,0.239622642,0.335087719,0.148214286,0.07826087,0.29787234,0.365789474,0.14084507,0.111764706,0.303225806,0.768421053,0.062727273,0.2,0.16031746,0.350819672,0.215789474,0.088297872,0.1125,0.135211268,0.108219178,0.421875,0.12962963,0.204761905,0.3375,0.2875,0.204255319,0.198148148,0.069767442,0.551515152,0.369354839,0.060227273,0.096,0.2,0.101492537,0.165,0.061538462,0.086956522,0.168421053,0.146153846,0.108196721,0.143636364,0.116455696,0.105633803,0.074285714,0.121518987,0.076712329,0.36,0.04125,0.375342466,0.419047619
Formate,1.141945774,0.76511955,1.180084746,1.395555556,1.714285714,0.723150358,0.88852459,0.763768116,4.013559322,1.098113208,0.786363636,0.434259259,0.73559322,1.081395349,0.55,0.826415094,0.857894737,0.901785714,0.39826087,0.910638298,1.136842105,0.687323944,0.604705882,0.627419355,2.247368421,0.32,0.540740741,0.49047619,0.609836066,0.692982456,0.369148936,0.5421875,0.501408451,0.4,1.08125,0.659259259,0.580952381,0.8825,0.79375,0.836170213,0.809259259,0.45,2.021212121,0.667741935,0.468181818,0.848,1.264285714,0.664179104,0.698333333,0.932692308,2.508695652,0.764912281,1.125,0.698360656,0.885454545,0.548101266,0.598591549,0.591428571,0.524050633,0.602739726,2.165,0.49875,1.139726027,1.166666667
Fucose,0.379585327,0.728551336,0.769067797,0.477777778,0.420918367,0.281622912,0.375409836,1.079710145,0.745762712,0.503773585,0.415909091,0.337962963,0.472881356,0.91627907,0.465714286,0.513207547,1.033333333,1.407142857,0.384347826,0.565957447,0.742105263,0.373239437,0.317647059,0.708064516,2.131578947,0.370909091,0.692592593,1.40952381,0.742622951,0.864912281,0.130851064,0.4640625,0.476056338,0.764383562,0.8375,0.344444444,0.423809524,0.81,0.783333333,0.861702128,0.609259259,0.215116279,1.015151515,0.430645161,0.102272727,0.722,1.502380952,0.464179104,0.86,0.480769231,1.058695652,0.703508772,0.865384615,1.591803279,0.445454545,0.478481013,0.322535211,0.18,0.316455696,0.389041096,1.21,0.14875,0.580821918,0.838095238
