,12.M.S.9,47.M.S.8,44.M.S.8,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,228.M.C.9,229.M.C.9,255.M.C.9,256.M.C.9,257.C.C.9,242.M.C.9,243.C.C.9,252.M.C.9,253.C.C.9,254.C.C.9,259.M.C.9,261.C.C.9,262.C.C.9,186.M.C.9,187.M.C.9,188.C.C.9,189.C.C.9,190.C.C.9,191.M.C.9,192.M.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,198.M.C.9,199.C.C.9,263.C.C.9,236.M.C.9,237.C.C.9,238.C.C.9,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,183.C.S.10,173.M.S.10,169.M.S.10,164.M.S.9,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,224.M.S.9,215.M.S.10,184.C.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10
Fumarate,0.172248804,0.097046414,0.216101695,0.288888889,0.285714286,0.125298329,0.181967213,0.123188406,0.210169492,0.216981132,0.077272727,0.044444444,0.276271186,0.148837209,0.205714286,0.103773585,0.184210526,0.183928571,0.09826087,0.263829787,0.276315789,0.202816901,0.198823529,0.169354839,0.742105263,0.108181818,0.214814815,0.19047619,0.254098361,0.198245614,0.069148936,0.2796875,0.174647887,0.065753425,0.38125,0.105555556,0.20952381,0.0875,0.254166667,0.212765957,0.111111111,0.138372093,0.184848485,0.064516129,0.039772727,0.286,0.15,0.073134328,0.116666667,0.105769231,0.219565217,0.145614035,0.088461538,0.157377049,0.198181818,0.070886076,0.191549296,0.058571429,0.05443038,0.065753425,0.3,0.0375,0.065753425,0.061904762
Galactose,2.976076555,4.334739803,2.555084746,2.046666667,1.880102041,1.144391408,1.180327869,3.833333333,6.289830508,1.479245283,2.275,1.817592593,1.569491525,2.041860465,2.017142857,2.59245283,5.71754386,5.951785714,2.057391304,2.546808511,5.144736842,0.853521127,2.022352941,3.703225806,4.2,2.833636364,2.109259259,6.992063492,5.41147541,3.729824561,1.105319149,2.834375,4.273239437,2.968493151,8.215625,2.151851852,2.101587302,4.7925,2.945833333,3.363829787,2.862962963,0.794186047,3.03030303,1.958064516,0.936363636,3.64,7.076190476,2.746268657,3.986666667,1.919230769,2.539130435,3.024561404,4.175,6.075409836,1.52,2.410126582,2.069014085,1.164285714,1.435443038,1.582191781,2.05,1.0375,1.742465753,4.457142857
Glucose 1-phosphate,1.137161085,1.402250352,0.23940678,0.653333333,0.512755102,0.877088305,1.147540984,0.14057971,3.401694915,2.058490566,8.043181818,1.869444444,0.120338983,1.520930233,1.24,1.722641509,0.663157895,0.6125,0.243478261,0.285106383,0.447368421,0.157746479,0.207058824,0.183870968,2.226315789,0.057272727,0.083333333,0.079365079,0.316393443,0.256140351,0.144680851,0.2328125,0.3,0.149315068,0.5375,0.561111111,0.136507937,1.2825,0.297916667,0.521276596,0.703703704,0.68255814,3.912121212,3.714516129,2.635227273,4.484,4.742857143,4.28358209,0.531666667,6.275,0.647826087,0.270175439,0.465384615,0.191803279,0.347272727,0.756962025,0.308450704,2.66,1.020253165,0.487671233,1.045,1.12875,2.523287671,6.992857143
Glutamate,4.119617225,3.316455696,1.493644068,2.34,2.522959184,1.254176611,2.901639344,1.566666667,3.445762712,0.641509434,2.859090909,3.134259259,2.638983051,3.86744186,3.401428571,2.279245283,2.159649123,6.176785714,3.251304348,2.859574468,4.228947368,1.657746479,2.710588235,2.011290323,6.2,2.538181818,1.988888889,2.250793651,2.336065574,1.877192982,3.555319149,3.284375,3.909859155,2.710958904,1.984375,5.324074074,1.663492063,5.715,2,4.312765957,4.796296296,4.788372093,3.312121212,0.874193548,1.680681818,5.91,4.911904762,2.340298507,2.05,3.778846154,3.280434783,1.847368421,1.823076923,1.804918033,1.46,1.889873418,2.271830986,2.192857143,0.805063291,1.764383562,3.415,2.1975,1.394520548,2.445238095
Glutamine,0.779904306,1.399437412,0.974576271,0.931111111,1.176020408,0.377088305,0.572131148,0.613043478,1.103389831,0.29245283,0.609090909,0.493518519,0.452542373,0.841860465,0.722857143,0.337735849,0.822807018,0.848214286,0.371304348,0.491489362,0.5,0.530985915,0.82,0.85483871,2.531578947,0.36,0.411111111,0.473015873,0.804918033,1.043859649,0.407446809,0.403125,0.652112676,0.308219178,1.54375,1.231481481,0.404761905,1.1525,1.252083333,0.478723404,0.594444444,0.340697674,1.533333333,0.330645161,0.340909091,0.542,1.619047619,0.231343284,0.375,1.376923077,0.665217391,0.145614035,0.144230769,0.667213115,0.396363636,0.2,0.222535211,0.691428571,0.120253165,0.204109589,0.475,0.3,0.276712329,0.580952381
Glycine,1.145135566,1.637130802,1.012711864,1.288888889,1.729591837,0.581145585,1.403278689,1.092753623,2.045762712,0.496226415,1.190909091,1.141666667,1.133898305,2.113953488,1.458571429,0.875471698,1.687719298,2.316071429,0.952173913,1.059574468,1.597368421,0.684507042,1.518823529,0.703225806,2.315789474,0.718181818,0.677777778,1.044444444,0.714754098,0.598245614,0.830851064,0.903125,1.045070423,0.798630137,0.809375,1.990740741,0.573015873,2.4425,0.560416667,0.891489362,1.911111111,1.415116279,1.43030303,0.759677419,0.668181818,1.392,1.228571429,0.850746269,0.856666667,2.782692308,1.636956522,0.452631579,0.569230769,0.995081967,0.409090909,0.383544304,0.46056338,0.964285714,0.302531646,0.373972603,0.575,0.445,0.287671233,0.928571429
Glycocholate,0.038277512,0.658227848,0.533898305,0.151111111,0.397959184,0.063245823,0.075409836,0.179710145,0.247457627,0.132075472,0.163636364,0.036111111,1.008474576,0.234883721,0.204285714,0.69245283,0.185964912,0.276785714,0.264347826,0.355319149,0.202631579,0.194366197,0.058823529,0.170967742,0.468421053,0.174545455,0.235185185,0.115873016,0.444262295,0.210526316,0.273404255,0.3328125,0.5,0.14109589,0.121875,0.048148148,0.087301587,0.2825,0.295833333,0.744680851,0.262962963,0.096511628,0.345454545,0.038709677,0.017045455,0.104,0.914285714,0.174626866,0.198333333,0.069230769,0.269565217,0.212280702,0.057692308,0.229508197,0.232727273,0.286075949,0.135211268,0.015714286,0.182278481,0.076712329,0.33,0.04875,0.156164384,0.035714286
Guanosine monophosphate,0.767145136,1.291139241,1.94279661,0.984444444,1.262755102,1.114558473,3.180327869,0.095652174,0.723728814,0.943396226,1.640909091,0.643518519,1.362711864,0.941860465,2.307142857,1.449056604,0.678947368,1.028571429,0.46173913,1.027659574,2.726315789,0.473239437,1.288235294,1.093548387,3.594736842,1.009090909,1.157407407,0.796825397,1.245901639,1.1,0.741489362,1.6359375,1.03943662,1.064383562,2.45625,1.305555556,0.807936508,1.75,1.03125,0.629787234,1.4,1.129069767,2.403030303,0.861290323,1.006818182,0.628,2.10952381,1.447761194,0.715,2.076923077,0.445652174,0.587719298,0.678846154,0.606557377,0.712727273,0.496202532,0.591549296,1.151428571,0.484810127,0.783561644,2.26,0.3625,1.37260274,1.35952381
Hexanoylcarnitine,0.055821372,0.091420534,0.059322034,0.046666667,0.145408163,0.022673031,0.068852459,0.068115942,0.079661017,0.060377358,0.061363636,0.036111111,0.042372881,0.209302326,0.082857143,0.039622642,0.103508772,0.103571429,0.033043478,0.044680851,0.076315789,0.222535211,0.043529412,0.05,0.805263158,0.025454545,0.07962963,0.063492063,0.147540984,0.064912281,0.05,0.0359375,0.046478873,0.02739726,0.178125,0.062962963,0.042857143,0.1175,0.166666667,0.029787234,0.055555556,0.041860465,0.263636364,0.290322581,0.05,0.058,0.502380952,0.097014925,0.213333333,0.086538462,0.313043478,0.19122807,0.328846154,0.159016393,0.318181818,0.075949367,0.030985915,0.085714286,0.210126582,0.07260274,0.2,0.03125,0.115068493,0.247619048
Histamine,0.073365231,0.050632911,0.074152542,0.037777778,0.056122449,0.015513126,0.059016393,0.066666667,0.077966102,0.077358491,0.111363636,0.071296296,0.133898305,0.258139535,0.121428571,0.050943396,0.10877193,0.164285714,0.057391304,0.25106383,0.110526316,0.161971831,0.131764706,0.248387097,0.194736842,0.062727273,0.101851852,0.092063492,0.383606557,0.257894737,0.094680851,0.1703125,0.14084507,0.076712329,0.1625,0.174074074,0.141269841,0.2325,0.266666667,0.140425532,0.116666667,0.115116279,0.139393939,0.1,0.080681818,0.184,0.219047619,0.092537313,0.12,0.138461538,0.156521739,0.066666667,0.084615385,0.072131148,0.08,0.055696203,0.061971831,0.062857143,0.065822785,0.084931507,0.13,0.0325,0.183561644,0.178571429
Histidine,0.165869219,0.509142053,0.220338983,0.464444444,0.571428571,0.159904535,0.381967213,0.195652174,0.228813559,0.130188679,0.306818182,0.067592593,0.120338983,0.181395349,0.145714286,0.266037736,0.192982456,0.275,0.146956522,0.20212766,0.215789474,0.1,0.242352941,0.170967742,0.436842105,0.133636364,0.183333333,0.177777778,0.145901639,0.177192982,0.154255319,0.121875,0.095774648,0.075342466,0.1875,0.209259259,0.115873016,0.1575,0.183333333,0.134042553,0.174074074,0.156976744,0.324242424,0.262903226,0.289772727,0.656,0.780952381,0.252238806,0.46,0.811538462,0.380434783,0.245614035,0.269230769,0.259016393,0.287272727,0.2,0.222535211,0.288571429,0.17721519,0.191780822,0.795,0.1175,0.123287671,0.107142857
Hypoxanthine,0.079744817,0.05907173,0.133474576,0.068888889,0.109693878,0.025059666,0.052459016,0.046376812,0.106779661,0.033962264,0.038636364,0.055555556,0.038983051,0.034883721,0.095714286,0.035849057,0.056140351,0.067857143,0.020869565,0.057446809,0.071052632,0.018309859,0.022352941,0.062903226,0.168421053,0.067272727,0.044444444,0.041269841,0.054098361,0.057894737,0.035106383,0.0515625,0.04084507,0.02739726,0.05,0.096296296,0.049206349,0.09,0.025,0.044680851,0.075925926,0.059302326,0.066666667,0.025806452,0.018181818,0.132,0.069047619,0.071641791,0.056666667,0.090384615,0.047826087,0.050877193,0.076923077,0.090163934,0.047272727,0.051898734,0.04084507,0.055714286,0.037974684,0.064383562,0.075,0.0225,0.049315068,0.069047619
Inosine,0.339712919,0.156118143,0.099576271,0.048888889,0.091836735,0.065632458,0.22295082,0.027536232,0.133898305,0.054716981,0.088636364,0.151851852,0.028813559,0.044186047,0.357142857,0.128301887,0.059649123,0.3,0.152173913,0.042553191,0.218421053,0.021126761,0.263529412,0.062903226,0.121052632,0.162727273,0.027777778,0.095238095,0.093442623,0.054385965,0.24787234,0.1125,0.274647887,0.098630137,0.1,0.681481481,0.044444444,0.17,0.06875,0.138297872,0.331481481,0.186046512,0.124242424,0.041935484,0.161363636,0.324,0.061904762,0.201492537,0.026666667,0.507692308,0.054347826,0.031578947,0.069230769,0.054098361,0.038181818,0.036708861,0.063380282,0.3,0.029113924,0.036986301,0.16,0.155,0.052054795,0.045238095
Isobutyrate,0.328548644,1.279887482,1.072033898,1.002222222,1.910714286,0.787589499,1.285245902,0.904347826,1.13220339,0.41509434,0.513636364,0.315740741,0.601694915,0.96744186,0.942857143,0.430188679,1.256140351,0.85,0.542608696,0.865957447,1.15,0.407042254,1.051764706,0.772580645,4.626315789,0.686363636,0.462962963,1.10952381,1.052459016,1.157894737,0.555319149,1.184375,1.147887324,0.656164384,3.30625,1.268518519,0.995238095,0.235,1.11875,1.00212766,0.612962963,1.084883721,1.542424242,0.266129032,0.348863636,0.594,0.069047619,0.332835821,0.205,0.605769231,0.565217391,0.249122807,0.286538462,0.578688525,0.327272727,0.179746835,0.361971831,0.53,0.158227848,0.239726027,0.365,0.36,0.093150685,0.25952381
Isoleucine,1.070175439,2.715893108,0.987288136,1.364444444,2.433673469,0.625298329,0.8,1.137681159,1.388135593,0.39245283,0.852272727,0.781481481,0.691525424,1.96744186,0.84,0.537735849,1.735087719,1.666071429,0.546956522,0.710638298,0.826315789,0.304225352,1.385882353,0.535483871,1.252631579,0.496363636,0.52962963,0.855555556,0.48852459,0.41754386,0.493617021,0.628125,0.629577465,0.383561644,0.503125,1.522222222,0.4,2.1425,0.404166667,0.574468085,1.205555556,0.662790698,1.003030303,0.685483871,0.342045455,1.518,1.942857143,0.78358209,1.046666667,2.473076923,1.186956522,0.345614035,0.482692308,1.506557377,0.212727273,0.312658228,0.374647887,0.852857143,0.391139241,0.382191781,0.53,0.3775,0.391780822,1.464285714
Isovalerate,0.132376396,0.191279887,0.120762712,0.144444444,0.272959184,0.116945107,0.319672131,0.12173913,0.152542373,0.062264151,0.118181818,0.105555556,0.055932203,0.081395349,0.217142857,0.083018868,0.10877193,0.273214286,0.163478261,0.119148936,0.171052632,0.054929577,0.2,0.062903226,0.068421053,0.07,0.024074074,0.068253968,0.037704918,0.021052632,0.040425532,0.0796875,0.042253521,0.056164384,0.034375,0.105555556,0.020634921,0.045,0.01875,0.044680851,0.15,0.098837209,0.103030303,0.062903226,0.097727273,0.172,0.064285714,0.088059701,0.056666667,0.090384615,0.102173913,0.021052632,0.059615385,0.050819672,0.030909091,0.03164557,0.035211268,0.117142857,0.03164557,0.056164384,0.055,0.11375,0.019178082,0.085714286
L-Arginine,0.205741627,0.672292546,0.163135593,0.262222222,0.369897959,0.130071599,0.247540984,0.262318841,1.101694915,0.132075472,0.402272727,0.209259259,0.181355932,0.418604651,0.244285714,0.252830189,0.377192982,0.266071429,0.109565217,0.206382979,0.260526316,0.152112676,0.198823529,0.130645161,0.3,0.08,0.062962963,0.025396825,0.12295082,0.112280702,0.106382979,0.0921875,0.109859155,0.153424658,0.35,0.337037037,0.074603175,0.5075,0.15,0.082978723,0.146296296,0.219767442,0.618181818,0.248387097,0.214772727,0.05,0.457142857,0.273134328,0.313333333,0.678846154,0.293478261,0.028070175,0.053846154,0.17704918,0.032727273,0.03164557,0.022535211,0.284285714,0.149367089,0.049315068,0.29,0.0125,0.17260274,0.604761905
Lactate,10.00478469,3.243319269,6.370762712,10.85333333,12.13520408,7.005966587,10.77540984,5.050724638,4.513559322,1.339622642,5.425,1.798148148,6.250847458,22.40465116,7.375714286,1.281132075,13.09649123,3.776785714,5.659130435,5.810638298,15.82368421,5.26056338,7.722352941,8.387096774,23.29473684,6.520909091,8.375925926,8.047619048,4.037704918,9.819298246,4.665957447,3.9625,5.9,6.171232877,10.7375,15.7,10.87936508,7.1675,6.916666667,7.621276596,4.766666667,4.477906977,8.606060606,7.033870968,1.9875,6.968,15.37380952,6.617910448,7.405,9.101923077,33.34782609,7.726315789,14.86153846,22.70983607,5.350909091,4.479746835,9.402816901,3.945714286,13.76962025,7.298630137,13.19,2.1325,15.65753425,23.41428571
Leucine,1.215311005,2.797468354,1.158898305,2.053333333,2.880102041,1.007159905,1.321311475,1.357971014,1.845762712,0.69245283,1.463636364,0.815740741,0.789830508,3.248837209,1.338571429,0.633962264,2.58245614,2.257142857,0.811304348,1.057446809,1.310526316,0.687323944,1.834117647,0.880645161,2.105263158,0.551818182,0.594444444,1.079365079,0.62295082,0.622807018,0.609574468,0.79375,0.883098592,0.579452055,0.81875,2.087037037,0.680952381,2.5375,0.502083333,0.727659574,1.722222222,0.945348837,1.739393939,1.046774194,0.677272727,1.706,2.445238095,1.020895522,1.595,3.638461538,2.319565217,0.633333333,0.880769231,2.450819672,0.387272727,0.483544304,0.518309859,1.451428571,0.705063291,0.680821918,0.745,0.585,0.794520548,2.614285714
Lysine,2.673046252,3.652601969,1.536016949,2.833333333,5.329081633,1.409307876,2.654098361,2.065217391,4.237288136,0.673584906,1.740909091,1.57962963,1.757627119,2.858139535,2.477142857,1.016981132,2.784210526,3.073214286,1.273913043,1.814893617,2.444736842,1.48028169,2.514117647,1.34516129,3.568421053,1.466363636,1.855555556,1.733333333,1.562295082,1.335087719,1.953191489,1.95,2.422535211,1.731506849,1.7125,4.57037037,1.249206349,3.3,1.379166667,2.05106383,2.564814815,1.753488372,2.815151515,1.159677419,1.778409091,3.758,5.252380952,2.265671642,2.275,6.025,3.452173913,1.231578947,1.705769231,3.209836066,1.361818182,0.946835443,1.394366197,2.62,1.083544304,1.197260274,1.81,1.5475,1.194520548,2.621428571
Malonate,0.148325359,0.070323488,0.137711864,0.193333333,0.193877551,0.070405728,0.073770492,0.073913043,0.110169492,0.047169811,0.075,0.037962963,0.115254237,0.193023256,0.051428571,0.037735849,0.157894737,0.110714286,0.05826087,0.078723404,0.118421053,0.05915493,0.051764706,0.037096774,0.205263158,0.030909091,0.040740741,0.03015873,0.019672131,0.105263158,0.020212766,0.05,0.042253521,0.031506849,0.134375,0.103703704,0.050793651,0.1325,0.114583333,0.155319149,0.1,0.039534884,0.136363636,0.1,0.070454545,0.186,0.147619048,0.120895522,0.041666667,0.126923077,0.143478261,0.110526316,0.121153846,0.126229508,0.114545455,0.063291139,0.073239437,0.074285714,0.108860759,0.1,0.24,0.06125,0.15890411,0.15952381
Mannose,0.242424242,0.097046414,0.118644068,0.202222222,0.155612245,0.219570406,0.73442623,0.107246377,1.496610169,0.109433962,0.084090909,0.40462963,0.072881356,0.090697674,0.648571429,0.109433962,0.142105263,0.403571429,0.193913043,0.104255319,0.215789474,0.050704225,0.231764706,0.098387097,0.410526316,0.160909091,0.142592593,0.049206349,0.154098361,0.161403509,0.189361702,0.0484375,0.16056338,0.157534247,0.115625,0.855555556,0.09047619,0.165,0.08125,0.119148936,0.137037037,0.473255814,0.172727273,0.137096774,0.818181818,0.332,0.39047619,0.505970149,0.06,1.421153846,0.07826087,0.268421053,0.125,0.11147541,0.116363636,0.067088608,0.153521127,1.054285714,0.026582278,0.05890411,0.28,0.36625,0.161643836,0.328571429
Methionine,0.743221691,1.376933896,0.620762712,0.655555556,0.923469388,0.31026253,0.445901639,0.652173913,0.744067797,0.243396226,0.784090909,0.437037037,0.683050847,0.98372093,0.588571429,0.505660377,0.754385965,0.941071429,0.422608696,0.657446809,0.684210526,0.397183099,0.534117647,0.312903226,1.189473684,0.314545455,0.268518519,0.39047619,0.31147541,0.268421053,0.343617021,0.375,0.483098592,0.267123288,0.503125,1.222222222,0.226984127,1.175,0.3,0.442553191,0.857407407,0.487209302,0.948484848,0.419354839,0.295454545,1.152,1.154761905,0.41641791,0.61,1.398076923,0.704347826,0.296491228,0.388461538,0.772131148,0.18,0.226582278,0.21971831,0.485714286,0.262025316,0.267123288,0.395,0.27125,0.298630137,1.016666667
