,12.M.S.9,47.M.S.8,44.M.S.8,51.C.S.8,50.C.S.8,42.C.S.8,40.C.S.8,225.C.C.9,226.C.C.9,227.C.C.9,228.M.C.9,229.M.C.9,255.M.C.9,256.M.C.9,257.C.C.9,242.M.C.9,243.C.C.9,252.M.C.9,253.C.C.9,254.C.C.9,259.M.C.9,261.C.C.9,262.C.C.9,186.M.C.9,187.M.C.9,188.C.C.9,189.C.C.9,190.C.C.9,191.M.C.9,192.M.C.9,193.C.C.9,194.C.C.9,195.C.C.9,197.C.C.9,198.M.C.9,199.C.C.9,263.C.C.9,236.M.C.9,237.C.C.9,238.C.C.9,269.M.S.9,270.M.S.9,272.M.S.9,211.M.S.9,159.M.S.10,170.M.S.10,183.C.S.10,173.M.S.10,169.M.S.10,164.M.S.9,216.C.S.10,206.C.S.10,208.C.S.10,222.C.S.10,179.C.S.10,174.C.S.11,218.C.S.10,224.M.S.9,215.M.S.10,184.C.S.10,202.M.S.10,146.M.S.11,203.M.S.10,201.M.S.10
Methylamine,0.647527911,0.187060478,0.127118644,0.226666667,0.201530612,0.14797136,0.283606557,0.307246377,0.218644068,0.164150943,0.288636364,0.242592593,0.23559322,0.427906977,0.274285714,0.28490566,0.410526316,0.448214286,0.252173913,0.376595745,0.55,0.185915493,0.267058824,0.29516129,0.363157895,0.206363636,0.22037037,0.29047619,0.291803279,0.242105263,0.226595745,0.2578125,0.254929577,0.290410959,0.43125,0.383333333,0.203174603,0.4025,0.275,0.395744681,0.431481481,0.275581395,0.387878788,0.364516129,0.572727273,1.12,0.914285714,0.595522388,0.586666667,0.992307692,0.645652174,0.638596491,1.015384615,0.729508197,0.478181818,0.473417722,0.538028169,0.538571429,0.282278481,0.61369863,0.935,0.61875,0.726027397,1.161904762
Nicotinate,0.746411483,0.268635724,0.216101695,0.277777778,0.216836735,0.279236277,0.680327869,0.257971014,1.247457627,0.154716981,0.204545455,0.375,0.228813559,0.223255814,0.588571429,0.296226415,0.30877193,0.705357143,0.406086957,0.40212766,0.594736842,0.161971831,0.481176471,0.264516129,0.568421053,0.380909091,0.222222222,0.307936508,0.314754098,0.271929825,0.464893617,0.3921875,0.505633803,0.491780822,0.40625,0.962962963,0.20952381,0.4025,0.33125,0.482978723,0.557407407,0.56627907,0.33030303,0.029032258,0.457954545,1.06,0.24047619,0.453731343,0.18,0.898076923,0.186956522,0.178947368,0.342307692,0.236065574,0.185454545,0.248101266,0.4,0.647142857,0.067088608,0.335616438,0.4,0.3375,0.098630137,0.211904762
Oxypurinol,4.23923445,6.991561181,7.36440678,3.784444444,1.216836735,1.665871122,12.33114754,5.537681159,9.06779661,2.747169811,5.602272727,1.518518519,3.774576271,2.102325581,3.11,1.918867925,1.684210526,3.8875,0.803478261,3.676595745,4.781578947,0.825352113,1.210588235,3.040322581,5.505263158,1.998181818,2.222222222,2.028571429,2.168852459,2.205263158,1.662765957,6.890625,2.002816901,2.421917808,3.859375,4.824074074,2.023809524,4.525,1.895833333,1.489361702,4.575925926,2.009302326,6.303030303,1.370967742,2.2875,7.836,9.235714286,2.731343284,7.148333333,2.001923077,4.315217391,6.436842105,6.507692308,5.739344262,7.278181818,8.115189873,4.316901408,5.434285714,2.292405063,2.260273973,8.25,2.8,3.950684932,6.723809524
Phenylacetic acid,0.433811802,0.421940928,0.252118644,0.277777778,0.492346939,0.142004773,0.32295082,0.357971014,0.722033898,0.139622642,0.225,0.297222222,0.198305085,0.248837209,0.405714286,0.203773585,0.31754386,0.505357143,0.274782609,0.131914894,0.242105263,0.15915493,0.5,0.127419355,1.368421053,0.290909091,0.131481481,0.2,0.196721311,0.177192982,0.2,0.2375,0.264788732,0.2,0.30625,0.416666667,0.173015873,0.2225,0.2125,0.159574468,0.325925926,0.281395349,0.36969697,0.085483871,0.276136364,0.398,0.554761905,0.282089552,0.158333333,0.576923077,0.380434783,0.11754386,0.203846154,0.473770492,0.132727273,0.151898734,0.153521127,0.345714286,0.082278481,0.093150685,0.16,0.29,0.104109589,0.216666667
Phenylalanine,0.684210526,1.954992968,0.819915254,1.206666667,2.051020408,0.525059666,0.627868852,0.886956522,1.223728814,0.371698113,1.068181818,0.472222222,0.688135593,1.81627907,0.604285714,0.537735849,1.449122807,1.092857143,0.449565217,0.704255319,0.797368421,0.385915493,0.898823529,0.433870968,1.452631579,0.350909091,0.501851852,0.666666667,0.550819672,0.433333333,0.344680851,0.5078125,0.522535211,0.352054795,0.621875,1.133333333,0.46984127,1.525,0.3625,0.54893617,0.922222222,0.459302326,1.290909091,0.611290323,0.296590909,1.142,1.742857143,0.449253731,0.781666667,1.421153846,1.113043478,0.436842105,0.484615385,1.142622951,0.254545455,0.308860759,0.361971831,0.554285714,0.416455696,0.387671233,0.69,0.2825,0.490410959,0.952380952
Proline,1.226475279,1.9395218,0.911016949,1.517777778,2.206632653,0.476133652,1.221311475,0.952173913,2.152542373,0.245283019,0.863636364,0.790740741,0.728813559,1.837209302,1.211428571,0.522641509,0.973684211,1.105357143,0.493043478,0.44893617,0.863157895,0.405633803,1.314117647,0.619354839,1.805263158,0.359090909,0.451851852,0.579365079,0.583606557,0.407017544,0.517021277,0.4921875,0.721126761,0.571232877,0.50625,1.461111111,0.403174603,2.1325,0.427083333,0.587234043,1.274074074,0.602325581,1.421212121,1.098387097,0.693181818,1.22,1.804761905,1.044776119,1.168333333,1.796153846,2.45,0.724561404,0.746153846,1.231147541,0.725454545,0.407594937,0.635211268,0.934285714,0.491139241,0.312328767,0.955,0.305,0.260273973,1.464285714
Propionate,4.240829346,3.798874824,3.980932203,4.602222222,4.117346939,4.920047733,9.445901639,2.898550725,5.888135593,6.047169811,5.827272727,4.528703704,2.925423729,1.774418605,6.622857143,6.167924528,4.254385965,4.342857143,4.064347826,4.255319149,7.936842105,2.536619718,6.322352941,2.124193548,3.321052632,3.576363636,2.07037037,3.844444444,3.273770492,2.545614035,2.2,3.6859375,2.876056338,4.535616438,3.596875,5.112962963,1.423809524,1.6575,2.758333333,2.776595745,2.394444444,4.33372093,9.018181818,2.462903226,3.613636364,3.554,2.485714286,3.143283582,2.263333333,6.094230769,2.408695652,3.101754386,4.976923077,2.480327869,3.585454545,3.369620253,3.666197183,6.344285714,2.443037975,3.554794521,4.315,4.0125,1.328767123,3.264285714
Ribose,1.494417863,1.267229255,1.972457627,1.737777778,1.262755102,0.877088305,1.532786885,1.914492754,8.476271186,0.773584906,1.588636364,2.093518519,1.574576271,1.148837209,2.321428571,1.388679245,1.621052632,3.871428571,1.630434783,2.189361702,1.665789474,0.616901408,1.287058824,1.325806452,2.931578947,1.834545455,1.703703704,2.653968254,2.103278689,1.459649123,2.705319149,2.3296875,2.767605634,2.784931507,1.771875,3.296296296,0.819047619,2.285,1.610416667,2.765957447,3.414814815,1.455813953,1.912121212,1.856451613,2.376136364,6.002,2.523809524,3.104477612,1.475,4.136538462,0.565217391,1.852631579,1.711538462,2.416393443,1.361818182,2.064556962,1.85915493,2.318571429,0.650632911,1.835616438,0.77,2.1775,0.931506849,2.783333333
Succinate,1.483253589,1.514767932,4.252118644,1.404444444,3.788265306,0.929594272,2.485245902,0.772463768,2.274576271,0.645283019,0.909090909,0.875925926,0.777966102,2.911627907,2.825714286,0.541509434,1.370175439,1.410714286,1.215652174,1.119148936,2.010526316,0.46056338,1.957647059,1.103225806,17.32105263,1.401818182,0.6,1.306349206,1.875409836,4.00877193,2.069148936,1.653125,1.956338028,1.973972603,15.315625,3.644444444,0.722222222,0.8,3.660416667,1.238297872,1.124074074,2.412790698,3.53030303,2.941935484,2.220454545,1.198,6.423809524,4.3,1.47,7.278846154,16.0326087,3.575438596,1.992307692,1.993442623,4.732727273,0.673417722,1.84084507,3.937142857,1.267088608,0.719178082,1.29,1.055,1.591780822,0.683333333
Taurine,0.290271132,1.604781997,0.987288136,1.533333333,7.5,0.360381862,0.521311475,0.479710145,0.442372881,1.437735849,3.015909091,0.174074074,0.211864407,2.058139535,0.435714286,2.013207547,1.305263158,0.394642857,0.120869565,0.561702128,0.442105263,0.849295775,0.309411765,1.329032258,12.22105263,0.202727273,0.490740741,0.182539683,1.240983607,4.121052632,0.29787234,0.2453125,0.21971831,0.209589041,1.45625,0.266666667,0.876190476,1.3425,1.002083333,0.285106383,0.696296296,0.16744186,8.224242424,1.711290323,0.388636364,0.26,14.26428571,1.852238806,1.203333333,1.082692308,12.6673913,4.503508772,0.909615385,0.673770492,11.02363636,0.913924051,0.2,0.488571429,3.458227848,3.121917808,1.495,0.13375,2.504109589,1.652380952
Threonine,1.213716108,1.652601969,0.769067797,1.251111111,2.170918367,0.409307876,0.504918033,0.74057971,1.093220339,0.377358491,0.75,0.778703704,0.705084746,1.595348837,1.737142857,0.622641509,1.321052632,1.546428571,0.66173913,0.891489362,1.057894737,0.384507042,0.830588235,0.483870968,1.615789474,0.438181818,0.507407407,0.804761905,0.613114754,0.496491228,0.513829787,0.6453125,0.732394366,0.398630137,0.8875,1.475925926,0.43015873,1.9275,0.566666667,0.687234043,1.211111111,0.931395349,0.948484848,0.508064516,1.355681818,1.69,1.573809524,1.371641791,0.9,3.123076923,1.256521739,0.385964912,0.632692308,1.232786885,0.42,0.44556962,0.570422535,1.504285714,0.364556962,0.464383562,0.74,0.775,0.452054795,1.242857143
Thymine,0.26953748,0.092827004,0.093220339,0.064444444,0.06122449,0.090692124,0.045901639,0.213043478,0.218644068,0.035849057,0.061363636,0.087037037,0.13559322,0.134883721,0.064285714,0.064150943,0.210526316,0.203571429,0.087826087,0.114893617,0.123684211,0.084507042,0.201176471,0.133870968,0.273684211,0.247272727,0.157407407,0.384126984,0.157377049,0.103508772,0.14893617,0.2109375,0.195774648,0.12739726,0.134375,0.377777778,0.133333333,0.12,0.13125,0.244680851,0.175925926,0.137209302,0.103030303,0.05,0.075,0.46,0.261904762,0.086567164,0.11,0.253846154,0.110869565,0.161403509,0.157692308,0.283606557,0.076363636,0.07721519,0.154929577,0.088571429,0.040506329,0.087671233,0.125,0.07375,0.060273973,0.052380952
Trimethylamine,0.03030303,0.026722925,0.044491525,0.04,0.043367347,0.017899761,0.018032787,0.023188406,0.022033898,0.013207547,0.018181818,0.009259259,0.030508475,0.037209302,0.014285714,0.016981132,0.028070175,0.025,0.009565217,0.034042553,0.039473684,0.023943662,0.015294118,0.04516129,0.094736842,0.017272727,0.02962963,0.026984127,0.036065574,0.031578947,0.023404255,0.0296875,0.029577465,0.016438356,0.040625,0.031481481,0.033333333,0.0375,0.041666667,0.046808511,0.031481481,0.018604651,0.036363636,0.016129032,0.006818182,0.036,0.05,0.014925373,0.025,0.028846154,0.036956522,0.036842105,0.034615385,0.026229508,0.030909091,0.021518987,0.01971831,0.017142857,0.013924051,0.021917808,0.085,0.01125,0.032876712,0.033333333
Tryptophan,0.149920255,0.337552743,0.110169492,0.16,0.454081633,0.093078759,0.042622951,0.220289855,0.083050847,0.098113208,0.097727273,0.059259259,0.118644068,0.28372093,0.08,0.103773585,0.289473684,0.110714286,0.072173913,0.15106383,0.139473684,0.070422535,0.064705882,0.066129032,0.236842105,0.051818182,0.064814815,0.111111111,0.108196721,0.080701754,0.055319149,0.0859375,0.053521127,0.036986301,0.175,0.127777778,0.093650794,0.1625,0.0875,0.117021277,0.118518519,0.05,0.233333333,0.114516129,0.044318182,0.246,0.483333333,0.094029851,0.153333333,0.284615385,0.391304348,0.119298246,0.142307692,0.227868852,0.067272727,0.063291139,0.067605634,0.05,0.060759494,0.065753425,0.225,0.0525,0.084931507,0.130952381
Tyrosine,0.500797448,2.374120956,1.595338983,1.846666667,2.714285714,0.821002387,0.955737705,0.956521739,1.350847458,0.290566038,0.863636364,0.392592593,0.530508475,1.190697674,0.424285714,0.381132075,0.931578947,0.866071429,0.333043478,0.506382979,0.460526316,0.305633803,0.627058824,0.44516129,1.647368421,0.297272727,0.488888889,0.488888889,0.404918033,0.410526316,0.271276596,0.45625,0.363380282,0.202739726,0.653125,0.840740741,0.401587302,1.1875,0.402083333,0.587234043,0.698148148,0.343023256,0.887878788,0.630645161,0.334090909,0.9,1.385714286,0.410447761,0.608333333,2.036538462,0.92826087,0.359649123,0.382692308,1.114754098,0.316363636,0.265822785,0.274647887,0.52,0.272151899,0.302739726,0.65,0.2975,0.312328767,0.795238095
UMP,0.629984051,0.571026723,0.639830508,0.3,0.364795918,0.360381862,0.952459016,0.214492754,1.045762712,0.196226415,0.447727273,0.366666667,0.415254237,0.311627907,0.824285714,0.50754717,0.20877193,0.876785714,0.28,0.4,0.794736842,0.126760563,0.598823529,0.296774194,0.742105263,0.304545455,0.305555556,0.265079365,0.275409836,0.249122807,0.360638298,0.440625,0.44084507,0.293150685,0.453125,0.757407407,0.228571429,0.4575,0.210416667,0.206382979,0.787037037,0.452325581,0.781818182,0.209677419,0.380681818,0.67,0.6,0.547761194,0.28,0.913461538,0.119565217,0.194736842,0.315384615,0.221311475,0.161818182,0.207594937,0.28028169,0.554285714,0.120253165,0.226027397,0.535,0.12,0.336986301,0.476190476
Uracil,11.06220096,2.11954993,1.26059322,1.488888889,0.897959184,1.396181384,3.278688525,1.984057971,5.283050847,0.324528302,0.965909091,2.619444444,1.179661017,1.244186047,3.064285714,1.345283019,1.768421053,5.235714286,2.340869565,1.995744681,2.65,0.849295775,3.072941176,1.040322581,2.278947368,1.745454545,1.003703704,1.992063492,1.591803279,1.21754386,2.493617021,1.9828125,2.807042254,2.11369863,1.284375,5.694444444,0.788888889,1.845,1.2375,2.472340426,3.975925926,2.897674419,1.245454545,0.598387097,3.621590909,8.404,2.635714286,5.059701493,2.536666667,9.778846154,1.302173913,2.747368421,3.636538462,3.716393443,1.592727273,2.481012658,3.485915493,5.714285714,0.864556962,2.771232877,2.86,3.78125,0.821917808,1.535714286
Urocanate,0.038277512,0.254571027,0.082627119,0.115555556,0.18877551,0.070405728,0.078688525,0.092753623,0.327118644,0.069811321,0.088636364,0.103703704,0.077966102,0.102325581,0.171428571,0.088679245,0.131578947,0.15,0.06,0.195744681,0.131578947,0.095774648,0.064705882,0.080645161,0.184210526,0.040909091,0.081481481,0.061904762,0.075409836,0.075438596,0.077659574,0.0703125,0.091549296,0.060273973,0.078125,0.198148148,0.065079365,0.1,0.066666667,0.09787234,0.183333333,0.103488372,0.166666667,0.035483871,0.042045455,0.074,0.088095238,0.092537313,0.07,0.176923077,0.043478261,0.073684211,0.073076923,0.08852459,0.038181818,0.021518987,0.023943662,0.07,0.049367089,0.047945205,0.085,0.03125,0.052054795,0.057142857
Valerate,0.336523126,0.383966245,0.194915254,0.357777778,0.163265306,0.446300716,0.937704918,0.468115942,0.662711864,0.167924528,0.488636364,0.471296296,0.257627119,0.13255814,0.717142857,0.381132075,0.368421053,0.541071429,0.585217391,0.317021277,0.639473684,0.157746479,0.541176471,0.156451613,0.415789474,0.335454545,0.096296296,0.246031746,0.173770492,0.107017544,0.159574468,0.39375,0.290140845,0.265753425,0.1875,0.32962963,0.06984127,0.1075,0.091666667,0.174468085,0.359259259,0.686046512,0.596969697,0.09516129,0.303409091,0.538,0.245238095,0.207462687,0.158333333,0.596153846,0.152173913,0.150877193,0.323076923,0.226229508,0.156363636,0.22278481,0.247887324,0.495714286,0.105063291,0.347945205,0.275,0.42625,0.073972603,0.285714286
Valine,1.562998405,3.405063291,1.396186441,1.708888889,3.096938776,0.633651551,1.109836066,1.656521739,1.761016949,0.552830189,1.172727273,0.947222222,1.113559322,2.855813953,1.128571429,0.781132075,2.456140351,2.548214286,0.84,1.027659574,1.160526316,0.6,1.957647059,0.788709677,2.147368421,0.749090909,0.775925926,1.314285714,0.81147541,0.578947368,0.769148936,0.9953125,1.076056338,0.646575342,0.9625,2.4,0.738095238,2.9275,0.622916667,0.942553191,1.922222222,0.954651163,1.454545455,0.927419355,0.585227273,2.104,2.576190476,1.068656716,1.438333333,3.767307692,1.893478261,0.570175439,0.726923077,1.998360656,0.352727273,0.484810127,0.509859155,1.217142857,0.507594937,0.468493151,0.705,0.5175,0.630136986,1.830952381
Xanthine,5.920255183,2.710267229,2.052966102,2.177777778,1.619897959,1.936754177,3.644262295,2.136231884,4.706779661,0.545283019,1,2.814814815,1.644067797,2.053488372,2.818571429,2.186792453,3.026315789,8.128571429,3.173913043,2.761702128,2.963157895,1.164788732,4.001176471,1.782258065,4.526315789,2.052727273,1.098148148,3.033333333,1.631147541,1.861403509,2.827659574,3.01875,3.354929577,2.920547945,1.9875,7.607407407,1.347619048,3.825,1.614583333,3.00212766,5.844444444,4.163953488,1.990909091,0.529032258,1.095454545,5.836,1.623809524,3.213432836,2.096666667,5.263461538,0.6,1.552631579,2.373076923,2.932786885,1.065454545,1.675949367,1.991549296,2.301428571,0.570886076,1.602739726,1.645,2.1225,1.005479452,1.261904762
Xylose,1.542264753,3.58790436,4.544491525,1.475555556,1.56122449,1.192124105,0.727868852,1.656521739,2.511864407,0.49245283,2.713636364,0.601851852,1.618644068,5.769767442,0.58,2.532075472,1.857894737,1.628571429,0.857391304,1.657446809,2.178947368,1.090140845,0.784705882,4.614516129,9.063157895,0.928181818,3.918518519,2.192063492,4.336065574,4.068421053,1.118085106,2.2984375,1.96056338,0.912328767,4.325,1.838888889,1.757142857,7.2675,4.59375,4.321276596,1.95,0.711627907,4.075757576,4.053225806,0.770454545,3.29,8.745238095,2.791044776,3.693333333,0.75,0.995652174,3.11754386,2.025,1.627868852,1.507272727,2.963291139,0.976056338,0.957142857,0.893670886,2.149315068,1.93,1.2025,3.953424658,7.147619048
p-Cresol,0.138755981,0.047819972,0.029661017,0.097777778,0.091836735,0.027446301,0.032786885,0.085507246,0.072881356,0.026415094,0.031818182,0.016666667,0.076271186,0.058139535,0.027142857,0.067924528,0.08245614,0.053571429,0.032173913,0.046808511,0.1,0.088732394,0.035294118,0.070967742,0.236842105,0.013636364,0.062962963,0.019047619,0.08852459,0.078947368,0.032978723,0.0328125,0.032394366,0.030136986,0.075,0.035185185,0.074603175,0.04,0.079166667,0.087234043,0.062962963,0.012790698,0.087878788,0.101612903,0.035227273,0.062,0.254761905,0.023880597,0.026666667,0.069230769,0.089130435,0.122807018,0.109615385,0.095081967,0.141818182,0.059493671,0.077464789,0.068571429,0.064556962,0.05890411,0.17,0.06625,0.093150685,0.15
?-Alanine,0.462519936,0.209563994,0.194915254,0.173333333,0.221938776,0.082338902,0.21147541,0.124637681,0.06440678,0.066037736,0.163636364,0.084259259,0.074576271,0.130232558,0.117142857,0.088679245,0.096491228,0.435714286,0.145217391,0.089361702,0.081578947,0.076056338,0.109411765,0.087096774,0.205263158,0.093636364,0.077777778,0.073015873,0.070491803,0.064912281,0.104255319,0.06875,0.112676056,0.080821918,0.084375,0.418518519,0.077777778,0.11,0.09375,0.114893617,0.168518519,0.079069767,0.148484848,0.074193548,0.105681818,0.278,0.307142857,0.119402985,0.065,0.273076923,0.093478261,0.075438596,0.111538462,0.116393443,0.129090909,0.074683544,0.050704225,0.144285714,0.037974684,0.117808219,0.205,0.145,0.098630137,0.066666667
